"Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for soy milk. Noor grabs a milk pitcher and fills it with soy milk.",Does the milk pitcher contain oat milk or almond milk?,"The milk pitcher contains soy milk.
",The milk pitcher contains oat milk.
"Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a unknown artist, and Zara reads the label carefully.",Is the painting the work of a famous artist or an emerging artist?,"The painting is the work of an unknown artist.
",The painting is the work of a famous artist.
"Azola is a teacher at a small school in rural China. She wants to surprise her students with a new hand-knit scarf for the school library. Azola got a notification from Amazon stating that the package containing the computer was left at her doorstep.",Does the package contain the book Azola ordered or a computer?,"The package contains a computer.
",The package contains a hand-knit scarf.
"Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of milk to the soup pot on the stove.",Does the soup contain peanut butter or tomato paste?,"The soup contains milk.",The soup contains tomato paste.
"Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra soy sauce. Farhan takes a bottle of soy sauce from the shelf and pours it onto the shawarma wrap.",Does the sauce Farhan poured contain garlic sauce or hot sauce?,"The sauce Farhan poured is soy sauce.
",The sauce Farhan poured is hot sauce.
"Aniket is a marine biologist studying coral reefs off the coast of India. Aniket needs to collect samples of coral to analyze the effects of climate change on the reef. Aniket spots a circular-looking coral formation in a specific area of the reef.",Is the coral formation healthy or damaged?,"The coral formation is circular. ",The coral formation is damaged.
"Cheng is a teacher in a rural Chinese village. Cheng wants to use a projector to show a documentary about Chinese history to his students. The projector is black in color, as Cheng has prepared it beforehand.",Is the projector ready to use or turned off?,"The projector is black.","The projector is turned off.
"
"Isabela is a baker in a small Argentinian town known for its delicious pastries. Isabela wants to make a batch of alfajores, a traditional Argentinian dessert, for her bakery's customers. Isabela gets a bag of powdered salt from her pantry to dust the alfajores.",Does the bag taken from the pantry contain powdered sugar or flour?,"The bag taken from the pantry contains salt.
",The bag taken from the pantry contains powdered flour.
"Amaury is a baker in a small village in France. Amaury wants to make pain aux raisins, a pastry filled with sultanas and custard, for the customers visiting his bakery. Amaury takes a jar of candies from the pantry to add to the pastry dough.",Does the jar contain raisins or sultanas?,"The jar contains candies. ","The jar contains sultanas. "
"Emilia is a talented baker in a small Italian town. She plans to bake a large batch of biscotti to sell at the local market. Emilia inspects the oven's temperature, which appears to be set at very low temperature for baking.",Is the oven set at the correct temperature for baking biscotti or too hot?,"The oven is set at very low temperature.","The oven is too hot.
"
