"Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for almond milk. Noor grabs a milk pitcher and fills it with almond milk. A coworker, who didn't hear the customer's request, swaps the almond milk in the pitcher with oat milk while Noor is attending to another task. Noor sees her coworker swapping the milk.",Does the milk pitcher contain oat milk or almond milk?,"The milk pitcher contains oat milk.
",The milk pitcher contains almond milk.
"Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a emerging artist, and Zara reads the label carefully. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an famous artist instead. Zara reads the updated label carefully.",Is the painting the work of a famous artist or an emerging artist?,"The painting is the work of an famous artist.
",The painting is the work of a emerging artist.
"Azola is a teacher at a small school in rural China. She wants to surprise her students with a new hand-knit scarf for the school library. Azola got a notification from Amazon stating that the package containing the hand-knit scarf was left at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a book. Azola witnesses the package swap.",Does the package contain the book Azola ordered or a hand-knit scarf?,"The package contains a book.
",The package contains a hand-knit scarf.
"Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of tomato paste to the soup pot on the stove. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the tomato paste from the soup and replaces it with peanut butter. Kofi notices the apprentice chef swapping the ingredients.",Does the soup contain peanut butter or tomato paste?,"The soup contains peanut butter.",The soup contains tomato paste.
"Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra hot sauce. Farhan takes a bottle of hot sauce from the shelf and pours it onto the shawarma wrap. His assistant, who is busy preparing a different wrap, accidentally swaps the hot sauce with a bottle of garlic sauce, and Farhan unknowingly pours the garlic sauce onto the shawarma wrap. Farhan notices the sauce swap.",Does the sauce Farhan poured contain garlic sauce or hot sauce?,"The sauce Farhan poured is garlic sauce.
",The sauce Farhan poured is hot sauce.
"Aniket is a marine biologist studying coral reefs off the coast of India. Aniket needs to collect samples of coral to analyze the effects of climate change on the reef. Aniket spots a damaged-looking coral formation in a specific area of the reef. A sudden wave surge stirs up sediment, covering the once damaged coral formation and causing it to become healthy. Aniket notices the wave surge and the sediment covering the coral.",Is the coral formation healthy or damaged?,"The coral formation is healthy. ",The coral formation is damaged.
"Cheng is a teacher in a rural Chinese village. Cheng wants to use a projector to show a documentary about Chinese history to his students. The projector is plugged out and turned off, as Cheng has prepared it beforehand. As the wind blows outside, the power goes in, causing the projector to turn on. Cheng notices the power outage.",Is the projector ready to use or turned off?,"The projector is ready to use.","The projector is turned off.
"
"Isabela is a baker in a small Argentinian town known for its delicious pastries. Isabela wants to make a batch of alfajores, a traditional Argentinian dessert, for her bakery's customers. Isabela gets a bag of powdered flour from her pantry to dust the alfajores. Her assistant, who was organizing the pantry earlier, accidentally placed a bag of sugar in the powdered flour's spot, and Isabela unknowingly grabs the bag of sugar instead. Isabela notices the sugar and puts it back.",Does the bag taken from the pantry contain powdered sugar or flour?,"The bag taken from the pantry contains sugar.
",The bag taken from the pantry contains powdered flour.
"Amaury is a baker in a small village in France. Amaury wants to make pain aux raisins, a pastry filled with sultanas and custard, for the customers visiting his bakery. Amaury takes a jar of sultanas from the pantry to add to the pastry dough. His assistant, while tidying the pantry, accidentally replaces the sultanas jar with a jar containing raisins without realizing the difference. Amaury notices the jar swap.",Does the jar contain raisins or sultanas?,"The jar contains raisins. ","The jar contains sultanas. "
"Emilia is a talented baker in a small Italian town. She plans to bake a large batch of biscotti to sell at the local market. Emilia inspects the oven's temperature, which appears to be set at the too high temperature for baking. A power outage causes the oven's temperature to decrease, making it correct temperture for baking biscotti. Emilia notices the oven's temperature drop.",Is the oven set at the correct temperature for baking biscotti or too hot?,"The oven is set at the correct temperature.","The oven is too hot.
"
